id,name,imageurl,birthday
19271,Anthony Russo,https://image.tmdb.org/t/p/w500/fIa5wXK7MHAquhefTr3TcnZiYy8.jpg,1970-02-03
53069,Anna Boden,https://image.tmdb.org/t/p/w500/h5YMXdI42zb0uqn5UJHF4fT9AER.jpg,1976-09-20
1302082,David F. Sandberg,https://image.tmdb.org/t/p/w500/10p2i4OW0JWAbnOb7yMLUEGdSqM.jpg,1985-12-23
1424064,Kyouhei Yamaguchi,https://image.tmdb.org/t/p/w500/uAFzPnQsnGzkR9KlU260TsGMFI1.jpg,1981-01-02
65630,Rob Letterman,https://image.tmdb.org/t/p/w500/v2GPTQ41ZqHtML8W1ft3UJej5xA.jpg,
57581,Neil Marshall,https://image.tmdb.org/t/p/w500/Au5p9cFlj2XVoVIECQ40ruOp1Qz.jpg,1970-05-25
1586194,Jenny Gage,https://image.tmdb.org/t/p/w500/wdvHWFssy6KAliSrY89pvszBlmO.jpg,
1297518,Kazuaki Imai,https://image.tmdb.org/t/p/w500None,
95972,Hans Petter Moland,https://image.tmdb.org/t/p/w500/xPUm6zfCrmDZb8fkby2zzF6sp8z.jpg,1955-10-17
11614,M. Night Shyamalan,https://image.tmdb.org/t/p/w500/shV9dGXMj7zt7myRFkR6FR51LYu.jpg,1970-08-06
1495940,Frankie Chen,https://image.tmdb.org/t/p/w500/3jfec79vr7xVdgW8qJgTdheYXyt.jpg,1974-09-21
20739,Adam Shankman,https://image.tmdb.org/t/p/w500/alYdaxIYDvJZFnVrM2n01jcafKo.jpg,1964-11-27
1154561,Kevin Kölsch,https://image.tmdb.org/t/p/w500/4494wQuVUThEzLBAFkEPhXgpUyS.jpg,
69797,Dean DeBlois,https://image.tmdb.org/t/p/w500/vofzPcdNUzUD1xqaMUwMAJRgFiy.jpg,1970-06-07
84124,Tina Gordon Chism,https://image.tmdb.org/t/p/w500/2Vho1qUJBLUPlgh3c4bnXTPKZUs.jpg,
1056121,Ryan Coogler,https://image.tmdb.org/t/p/w500/ddGaRFrlDdyR0OBTd1hAMWnfvim.jpg,1986-05-23
39189,Stephen Merchant,https://image.tmdb.org/t/p/w500/A70Gtg3kkTeCBgtFkSRPu9qfPQu.jpg,1974-11-24
12891,Joss Whedon,https://image.tmdb.org/t/p/w500/dTiVsuaTVTeGmvkhcyJvKp2A5kr.jpg,1964-06-23
7879,John Lasseter,https://image.tmdb.org/t/p/w500/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg,1957-01-12
